condition,learner,step,item_id,source_path,concepts,alignment,weak_hit,expanded_weak_hit,upstream_hit,difficulty_error,prerequisite_risk_flag
A2 no mastery loop,mid_spectral,5,item_0018,mit_linear_algebra_md/fall2006/final-1806-F06/final-1806-F06.md,basis_dimension|determinants|eigenvalues|orthogonality|projection,0.586,1,1,1,0.9,0
A2 no mastery loop,mid_spectral,6,item_0065,mit_linear_algebra_md/fall2010/final-1806-f10/final-1806-f10.md,basis_dimension|determinants|eigenvalues|svd,0.571,1,1,1,0.74,1
A2 no mastery loop,mid_spectral,7,item_0087,flipped_md/inclass/map/Three-Ib/Three-Ib.md,linear_systems|basis_dimension,0.546,0,1,1,0.1,0
A2 no mastery loop,mid_spectral,8,item_0090,flipped_md/inclass/map/Three-Va/Three-Va.md,basis_dimension|change_of_basis,0.602,0,1,1,0.1,0
A2 no mastery loop,mid_spectral,9,item_0091,flipped_md/inclass/map/Three-Va/Three-Va.md,basis_dimension|change_of_basis,0.602,0,1,1,0.1,0
A2 no mastery loop,mid_spectral,10,item_0042,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,rank|column_space|basis_dimension|determinants|eigenvalues|orthogonality,0.587,1,1,1,1.06,0
A2 no mastery loop,mid_spectral,11,item_0004,mit_linear_algebra_md/1995n1993没找到答案/final-95/final-95.md,nullspace|basis_dimension|eigenvalues|projection|positive_definite,0.551,1,1,1,0.9,1
A2 no mastery loop,mid_spectral,12,item_0005,mit_linear_algebra_md/1995n1993没找到答案/final-95/final-95.md,rank|column_space|basis_dimension|eigenvalues|orthogonality|projection,0.564,1,1,1,1.06,0
A2 no mastery loop,advanced_ortho,1,item_0070,mit_linear_algebra_md/spring2008/final-1806-S08/final-1806-S08.md,row_reduction|basis_dimension|eigenvalues|orthogonality,0.579,1,1,1,0.14,0
A2 no mastery loop,advanced_ortho,2,item_0088,flipped_md/inclass/map/Three-V/Three-V.md,basis_dimension|change_of_basis,0.602,0,1,1,0.5,0
A2 no mastery loop,advanced_ortho,3,item_0089,flipped_md/inclass/map/Three-Va/Three-Va.md,basis_dimension|change_of_basis,0.602,0,1,1,0.5,0
A2 no mastery loop,advanced_ortho,4,item_0018,mit_linear_algebra_md/fall2006/final-1806-F06/final-1806-F06.md,basis_dimension|determinants|eigenvalues|orthogonality|projection,0.586,1,1,1,0.3,0
A2 no mastery loop,advanced_ortho,5,item_0042,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,rank|column_space|basis_dimension|determinants|eigenvalues|orthogonality,0.587,1,1,1,0.46,0
A2 no mastery loop,advanced_ortho,6,item_0065,mit_linear_algebra_md/fall2010/final-1806-f10/final-1806-f10.md,basis_dimension|determinants|eigenvalues|svd,0.571,1,1,1,0.14,0
A2 no mastery loop,advanced_ortho,7,item_0028,mit_linear_algebra_md/spring1999/final-99/final-99.md,row_reduction|nullspace|column_space|basis_dimension|determinants|eigenvalues,0.55,0,1,1,0.46,0
A2 no mastery loop,advanced_ortho,8,item_0090,flipped_md/inclass/map/Three-Va/Three-Va.md,basis_dimension|change_of_basis,0.602,0,1,1,0.5,0
A2 no mastery loop,advanced_ortho,9,item_0091,flipped_md/inclass/map/Three-Va/Three-Va.md,basis_dimension|change_of_basis,0.602,0,1,1,0.5,0
A2 no mastery loop,advanced_ortho,10,item_0075,flipped_md/inclass/map/Three-Vb/Three-Vb.md,basis_dimension|change_of_basis|determinants,0.546,0,1,1,0.34,0
A2 no mastery loop,advanced_ortho,11,item_0005,mit_linear_algebra_md/1995n1993没找到答案/final-95/final-95.md,rank|column_space|basis_dimension|eigenvalues|orthogonality|projection,0.564,1,1,1,0.46,0
A2 no mastery loop,advanced_ortho,12,item_0004,mit_linear_algebra_md/1995n1993没找到答案/final-95/final-95.md,nullspace|basis_dimension|eigenvalues|projection|positive_definite,0.551,1,1,1,0.3,1
A2 no mastery loop,broad_review,1,item_0087,flipped_md/inclass/map/Three-Ib/Three-Ib.md,linear_systems|basis_dimension,0.546,1,1,1,0.2,0
A2 no mastery loop,broad_review,2,item_0088,flipped_md/inclass/map/Three-V/Three-V.md,basis_dimension|change_of_basis,0.602,1,1,1,0.2,0
A2 no mastery loop,broad_review,3,item_0089,flipped_md/inclass/map/Three-Va/Three-Va.md,basis_dimension|change_of_basis,0.602,1,1,1,0.2,0
A2 no mastery loop,broad_review,4,item_0075,flipped_md/inclass/map/Three-Vb/Three-Vb.md,basis_dimension|change_of_basis|determinants,0.546,1,1,1,0.36,0
A2 no mastery loop,broad_review,5,item_0070,mit_linear_algebra_md/spring2008/final-1806-S08/final-1806-S08.md,row_reduction|basis_dimension|eigenvalues|orthogonality,0.579,1,1,1,0.84,0
A2 no mastery loop,broad_review,6,item_0018,mit_linear_algebra_md/fall2006/final-1806-F06/final-1806-F06.md,basis_dimension|determinants|eigenvalues|orthogonality|projection,0.586,1,1,1,1.0,0
A2 no mastery loop,broad_review,7,item_0076,flipped_md/inclass/vector-spaces/Two-I.2/Two-I.2.md,linear_systems|nullspace|basis_dimension,0.537,1,1,1,0.36,0
A2 no mastery loop,broad_review,8,item_0090,flipped_md/inclass/map/Three-Va/Three-Va.md,basis_dimension|change_of_basis,0.602,1,1,1,0.2,0
A2 no mastery loop,broad_review,9,item_0091,flipped_md/inclass/map/Three-Va/Three-Va.md,basis_dimension|change_of_basis,0.602,1,1,1,0.2,0
A2 no mastery loop,broad_review,10,item_0065,mit_linear_algebra_md/fall2010/final-1806-f10/final-1806-f10.md,basis_dimension|determinants|eigenvalues|svd,0.571,1,1,1,0.84,0
A2 no mastery loop,broad_review,11,item_0042,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,rank|column_space|basis_dimension|determinants|eigenvalues|orthogonality,0.587,1,1,1,1.16,0
A2 no mastery loop,broad_review,12,item_0004,mit_linear_algebra_md/1995n1993没找到答案/final-95/final-95.md,nullspace|basis_dimension|eigenvalues|projection|positive_definite,0.551,1,1,1,1.0,0
A3 no retrieval,weak_systems,1,item_0035,mit_linear_algebra_md/spring2005/final-1806-S05/final-1806-S05.md,linear_systems|row_reduction|nullspace|basis_dimension|change_of_basis|projection,0.371,1,1,1,2.2,1
A3 no retrieval,weak_systems,2,item_0076,flipped_md/inclass/vector-spaces/Two-I.2/Two-I.2.md,linear_systems|nullspace|basis_dimension,0.537,1,1,1,1.16,1
A3 no retrieval,weak_systems,3,item_0068,mit_linear_algebra_md/spring1998/final-98/final-98.md,row_reduction|nullspace|column_space|basis_dimension,0.527,1,1,1,1.64,2
A3 no retrieval,weak_systems,4,item_0028,mit_linear_algebra_md/spring1999/final-99/final-99.md,row_reduction|nullspace|column_space|basis_dimension|determinants|eigenvalues,0.55,1,1,1,1.96,4
A3 no retrieval,weak_systems,5,item_0063,mit_linear_algebra_md/fall2002/final/final.md,row_reduction|rank|nullspace|basis_dimension,0.513,1,1,1,1.88,2
A3 no retrieval,weak_systems,6,item_0032,mit_linear_algebra_md/spring2004/final_1806_S04/final_1806_S04.md,row_reduction|rank|nullspace|column_space|basis_dimension,0.505,1,1,1,1.8,3
A3 no retrieval,weak_systems,7,item_0052,mit_linear_algebra_md/spring2017/final/final.md,row_reduction|rank|nullspace|column_space|basis_dimension,0.505,1,1,1,1.8,3
A3 no retrieval,weak_systems,8,item_0016,mit_linear_algebra_md/fall2006/final-1806-F06/final-1806-F06.md,row_reduction|nullspace|column_space|basis_dimension|determinants|eigenvalues|svd,0.485,1,1,1,2.2,4
A3 no retrieval,weak_systems,9,item_0009,mit_linear_algebra_md/fall2000/final-fall-00/final-fall-00.md,row_reduction|nullspace|column_space|basis_dimension|linear_maps,0.45,1,1,1,1.8,2
A3 no retrieval,weak_systems,10,item_0002,mit_linear_algebra_md/1995n1993没找到答案/final-95/final-95.md,row_reduction|nullspace|column_space|basis_dimension|eigenvalues|projection|positive_definite,0.478,1,1,1,2.2,3
A3 no retrieval,weak_systems,11,item_0014,mit_linear_algebra_md/fall2005/final-1806-F05/final-1806-F05.md,row_reduction|rank|nullspace|basis_dimension|determinants|eigenvalues|projection|least_squares,0.442,1,1,1,2.2,4
A3 no retrieval,weak_systems,12,item_0058,mit_linear_algebra_md/spring2021/Final/Final.md,linear_systems|rank|nullspace|column_space|basis_dimension|orthogonality|least_squares,0.421,1,1,1,2.2,3
A3 no retrieval,mid_spectral,1,item_0028,mit_linear_algebra_md/spring1999/final-99/final-99.md,row_reduction|nullspace|column_space|basis_dimension|determinants|eigenvalues,0.55,1,1,1,1.06,0
A3 no retrieval,mid_spectral,2,item_0016,mit_linear_algebra_md/fall2006/final-1806-F06/final-1806-F06.md,row_reduction|nullspace|column_space|basis_dimension|determinants|eigenvalues|svd,0.485,1,1,1,1.3,1
A3 no retrieval,mid_spectral,3,item_0014,mit_linear_algebra_md/fall2005/final-1806-F05/final-1806-F05.md,row_reduction|rank|nullspace|basis_dimension|determinants|eigenvalues|projection|least_squares,0.442,1,1,1,1.3,0
A3 no retrieval,mid_spectral,4,item_0026,mit_linear_algebra_md/spring1998/final-98/final-98.md,rank|nullspace|column_space|basis_dimension|determinants|eigenvalues|positive_definite,0.541,1,1,1,1.06,1
A3 no retrieval,mid_spectral,5,item_0031,mit_linear_algebra_md/spring1999/final-99/final-99.md,nullspace|basis_dimension|determinants|eigenvalues|orthogonality|positive_definite,0.556,1,1,1,1.3,1
A3 no retrieval,mid_spectral,6,item_0051,mit_linear_algebra_md/spring2016/final/final.md,rank|nullspace|column_space|basis_dimension|linear_maps|determinants|eigenvalues|orthogonality|projection,0.498,1,1,1,1.06,0
A3 no retrieval,mid_spectral,7,item_0057,mit_linear_algebra_md/spring2021/Final/Final.md,row_reduction|basis_dimension|determinants|eigenvalues|svd,0.48,1,1,1,0.9,1
A3 no retrieval,mid_spectral,8,item_0033,mit_linear_algebra_md/spring2004/final_1806_S04/final_1806_S04.md,rank|nullspace|column_space|basis_dimension|eigenvalues|diagonalization|projection,0.507,1,1,1,1.3,0
A3 no retrieval,mid_spectral,9,item_0012,mit_linear_algebra_md/fall2002/final/final.md,row_reduction|rank|basis_dimension|determinants|eigenvalues|orthogonality|projection,0.495,1,1,1,1.3,0
A3 no retrieval,mid_spectral,10,item_0002,mit_linear_algebra_md/1995n1993没找到答案/final-95/final-95.md,row_reduction|nullspace|column_space|basis_dimension|eigenvalues|projection|positive_definite,0.478,1,1,1,1.3,1
A3 no retrieval,mid_spectral,11,item_0036,mit_linear_algebra_md/spring2005/final-1806-S05/final-1806-S05.md,rank|nullspace|column_space|basis_dimension|eigenvalues|diagonalization|orthogonality|positive_definite|svd,0.441,1,1,1,1.3,2
A3 no retrieval,mid_spectral,12,item_0021,mit_linear_algebra_md/fall2011/final_f11/final_f11.md,rank|nullspace|column_space|basis_dimension|determinants|diagonalization|svd,0.432,1,1,1,1.3,1
A3 no retrieval,advanced_ortho,1,item_0010,mit_linear_algebra_md/fall2000/final-fall-00/final-fall-00.md,rank|nullspace|basis_dimension|determinants|eigenvalues|orthogonality|projection|least_squares|svd,0.44,1,1,1,0.94,0
A3 no retrieval,advanced_ortho,2,item_0051,mit_linear_algebra_md/spring2016/final/final.md,rank|nullspace|column_space|basis_dimension|linear_maps|determinants|eigenvalues|orthogonality|projection,0.498,1,1,1,0.46,0
A3 no retrieval,advanced_ortho,3,item_0006,mit_linear_algebra_md/fall1999/final-fall-99/final-fall-99.md,rank|nullspace|column_space|basis_dimension|eigenvalues|orthogonality|projection|least_squares,0.488,1,1,1,0.7,0
A3 no retrieval,advanced_ortho,4,item_0016,mit_linear_algebra_md/fall2006/final-1806-F06/final-1806-F06.md,row_reduction|nullspace|column_space|basis_dimension|determinants|eigenvalues|svd,0.485,1,1,1,0.7,0
A3 no retrieval,advanced_ortho,5,item_0049,mit_linear_algebra_md/spring2015/FinalExamSp15/FinalExamSp15.md,nullspace|column_space|basis_dimension|eigenvalues|orthogonality|projection|positive_definite|svd,0.47,1,1,1,0.7,1
A3 no retrieval,advanced_ortho,6,item_0027,mit_linear_algebra_md/spring1998/final-98/final-98.md,rank|nullspace|column_space|basis_dimension|eigenvalues|orthogonality|projection|least_squares,0.488,1,1,1,0.94,0
A3 no retrieval,advanced_ortho,7,item_0047,mit_linear_algebra_md/spring2014/Final_s14_draft/Final_s14_draft.md,nullspace|column_space|basis_dimension|determinants|orthogonality|projection|least_squares,0.452,1,1,1,0.7,0
A3 no retrieval,advanced_ortho,8,item_0014,mit_linear_algebra_md/fall2005/final-1806-F05/final-1806-F05.md,row_reduction|rank|nullspace|basis_dimension|determinants|eigenvalues|projection|least_squares,0.442,1,1,1,0.7,0
A3 no retrieval,advanced_ortho,9,item_0046,mit_linear_algebra_md/spring2013/Examfblank/Examfblank.md,nullspace|column_space|determinants|eigenvalues|orthogonality|projection|least_squares,0.417,1,1,1,0.94,0
A3 no retrieval,advanced_ortho,10,item_0028,mit_linear_algebra_md/spring1999/final-99/final-99.md,row_reduction|nullspace|column_space|basis_dimension|determinants|eigenvalues,0.55,0,1,1,0.46,0
A3 no retrieval,advanced_ortho,11,item_0040,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,linear_systems|rank|column_space|basis_dimension|eigenvalues|orthogonality|projection,0.497,1,1,1,0.46,0
A3 no retrieval,advanced_ortho,12,item_0012,mit_linear_algebra_md/fall2002/final/final.md,row_reduction|rank|basis_dimension|determinants|eigenvalues|orthogonality|projection,0.495,1,1,1,0.7,0
A3 no retrieval,broad_review,1,item_0051,mit_linear_algebra_md/spring2016/final/final.md,rank|nullspace|column_space|basis_dimension|linear_maps|determinants|eigenvalues|orthogonality|projection,0.498,1,1,1,1.16,0
A3 no retrieval,broad_review,2,item_0036,mit_linear_algebra_md/spring2005/final-1806-S05/final-1806-S05.md,rank|nullspace|column_space|basis_dimension|eigenvalues|diagonalization|orthogonality|positive_definite|svd,0.441,1,1,1,1.4,0
A3 no retrieval,broad_review,3,item_0010,mit_linear_algebra_md/fall2000/final-fall-00/final-fall-00.md,rank|nullspace|basis_dimension|determinants|eigenvalues|orthogonality|projection|least_squares|svd,0.44,1,1,1,1.64,0
A3 no retrieval,broad_review,4,item_0011,mit_linear_algebra_md/fall2002/final/final.md,rank|basis_dimension|eigenvalues|diagonalization|orthogonality|projection|least_squares|positive_definite|svd,0.364,1,1,1,1.4,0
A3 no retrieval,broad_review,5,item_0006,mit_linear_algebra_md/fall1999/final-fall-99/final-fall-99.md,rank|nullspace|column_space|basis_dimension|eigenvalues|orthogonality|projection|least_squares,0.488,1,1,1,1.4,0
A3 no retrieval,broad_review,6,item_0050,mit_linear_algebra_md/spring2015/FinalExamSp15/FinalExamSp15.md,rank|column_space|basis_dimension|linear_maps|determinants|eigenvalues|orthogonality|positive_definite,0.481,1,1,1,1.4,0
A3 no retrieval,broad_review,7,item_0049,mit_linear_algebra_md/spring2015/FinalExamSp15/FinalExamSp15.md,nullspace|column_space|basis_dimension|eigenvalues|orthogonality|projection|positive_definite|svd,0.47,1,1,1,1.4,0
A3 no retrieval,broad_review,8,item_0027,mit_linear_algebra_md/spring1998/final-98/final-98.md,rank|nullspace|column_space|basis_dimension|eigenvalues|orthogonality|projection|least_squares,0.488,1,1,1,1.64,0
A3 no retrieval,broad_review,9,item_0014,mit_linear_algebra_md/fall2005/final-1806-F05/final-1806-F05.md,row_reduction|rank|nullspace|basis_dimension|determinants|eigenvalues|projection|least_squares,0.442,1,1,1,1.4,0
A3 no retrieval,broad_review,10,item_0053,mit_linear_algebra_md/spring2017/final/final.md,rank|nullspace|column_space|eigenvalues|orthogonality|projection|positive_definite|svd,0.397,1,1,1,1.4,0
A3 no retrieval,broad_review,11,item_0020,mit_linear_algebra_md/fall2008/final1806-f08/final1806-f08.md,row_reduction|rank|nullspace|change_of_basis|determinants|eigenvalues|orthogonality|svd,0.373,1,1,1,1.4,0
A3 no retrieval,broad_review,12,item_0003,mit_linear_algebra_md/1995n1993没找到答案/final-95/final-95.md,column_space|basis_dimension|change_of_basis|determinants|diagonalization|orthogonality|projection|least_squares,0.367,1,1,1,1.64,0
A4 no dependency propagation,weak_systems,1,item_0035,mit_linear_algebra_md/spring2005/final-1806-S05/final-1806-S05.md,linear_systems|row_reduction|nullspace|basis_dimension|change_of_basis|projection,0.371,1,1,1,2.2,1
A4 no dependency propagation,weak_systems,2,item_0076,flipped_md/inclass/vector-spaces/Two-I.2/Two-I.2.md,linear_systems|nullspace|basis_dimension,0.537,1,1,1,1.16,1
A4 no dependency propagation,weak_systems,3,item_0068,mit_linear_algebra_md/spring1998/final-98/final-98.md,row_reduction|nullspace|column_space|basis_dimension,0.527,1,1,1,1.64,2
A4 no dependency propagation,weak_systems,4,item_0028,mit_linear_algebra_md/spring1999/final-99/final-99.md,row_reduction|nullspace|column_space|basis_dimension|determinants|eigenvalues,0.55,1,1,1,1.96,4
A4 no dependency propagation,weak_systems,5,item_0063,mit_linear_algebra_md/fall2002/final/final.md,row_reduction|rank|nullspace|basis_dimension,0.513,1,1,1,1.88,2
A4 no dependency propagation,weak_systems,6,item_0032,mit_linear_algebra_md/spring2004/final_1806_S04/final_1806_S04.md,row_reduction|rank|nullspace|column_space|basis_dimension,0.505,1,1,1,1.8,3
A4 no dependency propagation,weak_systems,7,item_0052,mit_linear_algebra_md/spring2017/final/final.md,row_reduction|rank|nullspace|column_space|basis_dimension,0.505,1,1,1,1.8,3
A4 no dependency propagation,weak_systems,8,item_0016,mit_linear_algebra_md/fall2006/final-1806-F06/final-1806-F06.md,row_reduction|nullspace|column_space|basis_dimension|determinants|eigenvalues|svd,0.485,1,1,1,2.2,4
A4 no dependency propagation,weak_systems,9,item_0009,mit_linear_algebra_md/fall2000/final-fall-00/final-fall-00.md,row_reduction|nullspace|column_space|basis_dimension|linear_maps,0.45,1,1,1,1.8,2
A4 no dependency propagation,weak_systems,10,item_0002,mit_linear_algebra_md/1995n1993没找到答案/final-95/final-95.md,row_reduction|nullspace|column_space|basis_dimension|eigenvalues|projection|positive_definite,0.478,1,1,1,2.2,3
A4 no dependency propagation,weak_systems,11,item_0014,mit_linear_algebra_md/fall2005/final-1806-F05/final-1806-F05.md,row_reduction|rank|nullspace|basis_dimension|determinants|eigenvalues|projection|least_squares,0.442,1,1,1,2.2,4
A4 no dependency propagation,weak_systems,12,item_0058,mit_linear_algebra_md/spring2021/Final/Final.md,linear_systems|rank|nullspace|column_space|basis_dimension|orthogonality|least_squares,0.421,1,1,1,2.2,3
A4 no dependency propagation,mid_spectral,1,item_0043,mit_linear_algebra_md/spring2010/18.06-Final-Sp2010/18.06-Final-Sp2010.md,basis_dimension|change_of_basis|determinants|eigenvalues|diagonalization|orthogonality|positive_definite,0.444,1,1,1,1.54,1
A4 no dependency propagation,mid_spectral,2,item_0086,flipped_md/inclass/jc/Five-IIb/Five-IIb.md,linear_systems|determinants|eigenvalues|diagonalization,0.343,1,1,1,0.66,0
A4 no dependency propagation,mid_spectral,3,item_0054,mit_linear_algebra_md/spring2017/final/final.md,determinants|eigenvalues|diagonalization|orthogonality|positive_definite,0.381,1,1,1,1.14,1
A4 no dependency propagation,mid_spectral,4,item_0007,mit_linear_algebra_md/fall1999/final-fall-99/final-fall-99.md,rank|nullspace|change_of_basis|determinants|eigenvalues|diagonalization|positive_definite,0.372,1,1,1,1.3,1
A4 no dependency propagation,mid_spectral,5,item_0018,mit_linear_algebra_md/fall2006/final-1806-F06/final-1806-F06.md,basis_dimension|determinants|eigenvalues|orthogonality|projection,0.586,1,1,1,0.9,0
A4 no dependency propagation,mid_spectral,6,item_0065,mit_linear_algebra_md/fall2010/final-1806-f10/final-1806-f10.md,basis_dimension|determinants|eigenvalues|svd,0.571,1,1,1,0.74,1
A4 no dependency propagation,mid_spectral,7,item_0042,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,rank|column_space|basis_dimension|determinants|eigenvalues|orthogonality,0.587,1,1,1,1.06,0
A4 no dependency propagation,mid_spectral,8,item_0028,mit_linear_algebra_md/spring1999/final-99/final-99.md,row_reduction|nullspace|column_space|basis_dimension|determinants|eigenvalues,0.55,1,1,1,1.06,0
A4 no dependency propagation,mid_spectral,9,item_0026,mit_linear_algebra_md/spring1998/final-98/final-98.md,rank|nullspace|column_space|basis_dimension|determinants|eigenvalues|positive_definite,0.541,1,1,1,1.06,1
A4 no dependency propagation,mid_spectral,10,item_0031,mit_linear_algebra_md/spring1999/final-99/final-99.md,nullspace|basis_dimension|determinants|eigenvalues|orthogonality|positive_definite,0.556,1,1,1,1.3,1
A4 no dependency propagation,mid_spectral,11,item_0038,mit_linear_algebra_md/spring2008/final-1806-S08/final-1806-S08.md,rank|basis_dimension|determinants|eigenvalues|orthogonality|projection|positive_definite,0.504,1,1,1,1.06,1
A4 no dependency propagation,mid_spectral,12,item_0051,mit_linear_algebra_md/spring2016/final/final.md,rank|nullspace|column_space|basis_dimension|linear_maps|determinants|eigenvalues|orthogonality|projection,0.498,1,1,1,1.06,0
A4 no dependency propagation,advanced_ortho,1,item_0010,mit_linear_algebra_md/fall2000/final-fall-00/final-fall-00.md,rank|nullspace|basis_dimension|determinants|eigenvalues|orthogonality|projection|least_squares|svd,0.44,1,1,1,0.94,0
A4 no dependency propagation,advanced_ortho,2,item_0011,mit_linear_algebra_md/fall2002/final/final.md,rank|basis_dimension|eigenvalues|diagonalization|orthogonality|projection|least_squares|positive_definite|svd,0.364,1,1,1,0.7,1
A4 no dependency propagation,advanced_ortho,3,item_0013,mit_linear_algebra_md/fall2003-没找到答案/final/final.md,basis_dimension|eigenvalues|orthogonality|projection|svd,0.517,1,1,1,0.3,0
A4 no dependency propagation,advanced_ortho,4,item_0006,mit_linear_algebra_md/fall1999/final-fall-99/final-fall-99.md,rank|nullspace|column_space|basis_dimension|eigenvalues|orthogonality|projection|least_squares,0.488,1,1,1,0.7,0
A4 no dependency propagation,advanced_ortho,5,item_0049,mit_linear_algebra_md/spring2015/FinalExamSp15/FinalExamSp15.md,nullspace|column_space|basis_dimension|eigenvalues|orthogonality|projection|positive_definite|svd,0.47,1,1,1,0.7,1
A4 no dependency propagation,advanced_ortho,6,item_0027,mit_linear_algebra_md/spring1998/final-98/final-98.md,rank|nullspace|column_space|basis_dimension|eigenvalues|orthogonality|projection|least_squares,0.488,1,1,1,0.94,0
A4 no dependency propagation,advanced_ortho,7,item_0047,mit_linear_algebra_md/spring2014/Final_s14_draft/Final_s14_draft.md,nullspace|column_space|basis_dimension|determinants|orthogonality|projection|least_squares,0.452,1,1,1,0.7,0
A4 no dependency propagation,advanced_ortho,8,item_0046,mit_linear_algebra_md/spring2013/Examfblank/Examfblank.md,nullspace|column_space|determinants|eigenvalues|orthogonality|projection|least_squares,0.417,1,1,1,0.94,0
A4 no dependency propagation,advanced_ortho,9,item_0053,mit_linear_algebra_md/spring2017/final/final.md,rank|nullspace|column_space|eigenvalues|orthogonality|projection|positive_definite|svd,0.397,1,1,1,0.7,1
A4 no dependency propagation,advanced_ortho,10,item_0059,mit_linear_algebra_md/spring2021/Final/Final.md,basis_dimension|diagonalization|orthogonality|projection|svd,0.384,1,1,1,0.78,0
A4 no dependency propagation,advanced_ortho,11,item_0003,mit_linear_algebra_md/1995n1993没找到答案/final-95/final-95.md,column_space|basis_dimension|change_of_basis|determinants|diagonalization|orthogonality|projection|least_squares,0.367,1,1,1,0.94,0
A4 no dependency propagation,advanced_ortho,12,item_0022,mit_linear_algebra_md/fall2011/final_f11/final_f11.md,eigenvalues|diagonalization|orthogonality|projection|least_squares|positive_definite,0.294,1,1,1,0.7,1
