learner,theta,target_concept,policy,candidate_count,item_id,source_role,source_path,item_difficulty,difficulty_error,difficulty_hit_0_5,difficulty_hit_0_75,item_information,weak_concept_hit,concept_count
weak_systems,-0.8,linear_systems,random_within_target,14,item_0035,exam,mit_linear_algebra_md/spring2005/final-1806-S05/final-1806-S05.md,1.4,2.2,0,0,0.09,1,6
weak_systems,-0.8,linear_systems,syllabus_ranked,14,item_0087,activity,flipped_md/inclass/map/Three-Ib/Three-Ib.md,0.2,1.0,0,0,0.197,1,2
weak_systems,-0.8,linear_systems,difficulty_only,14,item_0098,activity,flipped_md/inclass/linear-systems/inclass-describe/inclass-describe.md,-0.44,0.36,1,1,0.242,1,1
weak_systems,-0.8,linear_systems,graph_irt,14,item_0098,activity,flipped_md/inclass/linear-systems/inclass-describe/inclass-describe.md,-0.44,0.36,1,1,0.242,1,1
weak_systems,-0.8,nullspace,random_within_target,38,item_0053,exam,mit_linear_algebra_md/spring2017/final/final.md,1.4,2.2,0,0,0.09,1,8
weak_systems,-0.8,nullspace,syllabus_ranked,38,item_0015,exam,mit_linear_algebra_md/fall2005/final-1806-F05/final-1806-F05.md,1.24,2.04,0,0,0.102,1,5
weak_systems,-0.8,nullspace,difficulty_only,38,item_0076,activity,flipped_md/inclass/vector-spaces/Two-I.2/Two-I.2.md,0.36,1.16,0,0,0.182,1,3
weak_systems,-0.8,nullspace,graph_irt,38,item_0076,activity,flipped_md/inclass/vector-spaces/Two-I.2/Two-I.2.md,0.36,1.16,0,0,0.182,1,3
weak_systems,-0.8,row_reduction,random_within_target,19,item_0032,exam,mit_linear_algebra_md/spring2004/final_1806_S04/final_1806_S04.md,1.0,1.8,0,0,0.122,1,5
weak_systems,-0.8,row_reduction,syllabus_ranked,19,item_0070,exam,mit_linear_algebra_md/spring2008/final-1806-S08/final-1806-S08.md,0.84,1.64,0,0,0.136,1,4
weak_systems,-0.8,row_reduction,difficulty_only,19,item_0074,activity,flipped_md/inclass/map/Three-V/Three-V.md,0.36,1.16,0,0,0.182,1,3
weak_systems,-0.8,row_reduction,graph_irt,19,item_0074,activity,flipped_md/inclass/map/Three-V/Three-V.md,0.36,1.16,0,0,0.182,1,3
mid_spectral,0.1,determinants,random_within_target,37,item_0042,exam,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,1.16,1.06,0,0,0.191,1,6
mid_spectral,0.1,determinants,syllabus_ranked,37,item_0042,exam,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,1.16,1.06,0,0,0.191,1,6
mid_spectral,0.1,determinants,difficulty_only,37,item_0075,activity,flipped_md/inclass/map/Three-Vb/Three-Vb.md,0.36,0.26,1,1,0.246,1,3
mid_spectral,0.1,determinants,graph_irt,37,item_0075,activity,flipped_md/inclass/map/Three-Vb/Three-Vb.md,0.36,0.26,1,1,0.246,1,3
mid_spectral,0.1,diagonalization,random_within_target,11,item_0021,exam,mit_linear_algebra_md/fall2011/final_f11/final_f11.md,1.4,1.3,0,0,0.168,1,7
mid_spectral,0.1,diagonalization,syllabus_ranked,11,item_0033,exam,mit_linear_algebra_md/spring2004/final_1806_S04/final_1806_S04.md,1.4,1.3,0,0,0.168,1,7
mid_spectral,0.1,diagonalization,difficulty_only,11,item_0086,activity,flipped_md/inclass/jc/Five-IIb/Five-IIb.md,0.76,0.66,0,1,0.225,1,4
mid_spectral,0.1,diagonalization,graph_irt,11,item_0086,activity,flipped_md/inclass/jc/Five-IIb/Five-IIb.md,0.76,0.66,0,1,0.225,1,4
mid_spectral,0.1,eigenvalues,random_within_target,55,item_0051,exam,mit_linear_algebra_md/spring2016/final/final.md,1.16,1.06,0,0,0.191,1,9
mid_spectral,0.1,eigenvalues,syllabus_ranked,55,item_0042,exam,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,1.16,1.06,0,0,0.191,1,6
mid_spectral,0.1,eigenvalues,difficulty_only,55,item_0072,activity,flipped_md/inclass/jc/Five-IId/Five-IId.md,0.36,0.26,1,1,0.246,1,3
mid_spectral,0.1,eigenvalues,graph_irt,55,item_0060,activity,flipped_md/inclass/jc/Five-IIc/Five-IIc.md,0.52,0.42,1,1,0.239,1,4
advanced_ortho,0.7,least_squares,random_within_target,14,item_0046,exam,mit_linear_algebra_md/spring2013/Examfblank/Examfblank.md,1.64,0.94,0,0,0.202,1,7
advanced_ortho,0.7,least_squares,syllabus_ranked,14,item_0006,exam,mit_linear_algebra_md/fall1999/final-fall-99/final-fall-99.md,1.4,0.7,0,1,0.222,1,8
advanced_ortho,0.7,least_squares,difficulty_only,14,item_0056,exam,mit_linear_algebra_md/spring2019/final/final.md,0.76,0.06,1,1,0.25,1,5
advanced_ortho,0.7,least_squares,graph_irt,14,item_0056,exam,mit_linear_algebra_md/spring2019/final/final.md,0.76,0.06,1,1,0.25,1,5
advanced_ortho,0.7,orthogonality,random_within_target,43,item_0039,exam,mit_linear_algebra_md/spring2008/final-1806-S08/final-1806-S08.md,1.48,0.78,0,0,0.216,1,5
advanced_ortho,0.7,orthogonality,syllabus_ranked,43,item_0042,exam,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,1.16,0.46,1,1,0.237,1,6
advanced_ortho,0.7,orthogonality,difficulty_only,43,item_0067,exam,mit_linear_algebra_md/fall2017/final/final.md,0.84,0.14,1,1,0.249,1,4
advanced_ortho,0.7,orthogonality,graph_irt,43,item_0070,exam,mit_linear_algebra_md/spring2008/final-1806-S08/final-1806-S08.md,0.84,0.14,1,1,0.249,1,4
advanced_ortho,0.7,projection,random_within_target,32,item_0010,exam,mit_linear_algebra_md/fall2000/final-fall-00/final-fall-00.md,1.64,0.94,0,0,0.202,1,9
advanced_ortho,0.7,projection,syllabus_ranked,32,item_0018,exam,mit_linear_algebra_md/fall2006/final-1806-F06/final-1806-F06.md,1.0,0.3,1,1,0.244,1,5
advanced_ortho,0.7,projection,difficulty_only,32,item_0067,exam,mit_linear_algebra_md/fall2017/final/final.md,0.84,0.14,1,1,0.249,1,4
advanced_ortho,0.7,projection,graph_irt,32,item_0018,exam,mit_linear_algebra_md/fall2006/final-1806-F06/final-1806-F06.md,1.0,0.3,1,1,0.244,1,5
advanced_ortho,0.7,svd,random_within_target,20,item_0065,exam,mit_linear_algebra_md/fall2010/final-1806-f10/final-1806-f10.md,0.84,0.14,1,1,0.249,1,4
advanced_ortho,0.7,svd,syllabus_ranked,20,item_0065,exam,mit_linear_algebra_md/fall2010/final-1806-f10/final-1806-f10.md,0.84,0.14,1,1,0.249,1,4
advanced_ortho,0.7,svd,difficulty_only,20,item_0056,exam,mit_linear_algebra_md/spring2019/final/final.md,0.76,0.06,1,1,0.25,1,5
advanced_ortho,0.7,svd,graph_irt,20,item_0065,exam,mit_linear_algebra_md/fall2010/final-1806-f10/final-1806-f10.md,0.84,0.14,1,1,0.249,1,4
broad_review,0.0,basis_dimension,random_within_target,59,item_0058,exam,mit_linear_algebra_md/spring2021/Final/Final.md,1.4,1.4,0,0,0.159,1,7
broad_review,0.0,basis_dimension,syllabus_ranked,59,item_0088,activity,flipped_md/inclass/map/Three-V/Three-V.md,0.2,0.2,1,1,0.248,1,2
broad_review,0.0,basis_dimension,difficulty_only,59,item_0087,activity,flipped_md/inclass/map/Three-Ib/Three-Ib.md,0.2,0.2,1,1,0.248,1,2
broad_review,0.0,basis_dimension,graph_irt,59,item_0088,activity,flipped_md/inclass/map/Three-V/Three-V.md,0.2,0.2,1,1,0.248,1,2
broad_review,0.0,change_of_basis,random_within_target,17,item_0020,exam,mit_linear_algebra_md/fall2008/final1806-f08/final1806-f08.md,1.4,1.4,0,0,0.159,1,8
broad_review,0.0,change_of_basis,syllabus_ranked,17,item_0088,activity,flipped_md/inclass/map/Three-V/Three-V.md,0.2,0.2,1,1,0.248,1,2
broad_review,0.0,change_of_basis,difficulty_only,17,item_0088,activity,flipped_md/inclass/map/Three-V/Three-V.md,0.2,0.2,1,1,0.248,1,2
broad_review,0.0,change_of_basis,graph_irt,17,item_0088,activity,flipped_md/inclass/map/Three-V/Three-V.md,0.2,0.2,1,1,0.248,1,2
broad_review,0.0,column_space,random_within_target,35,item_0033,exam,mit_linear_algebra_md/spring2004/final_1806_S04/final_1806_S04.md,1.4,1.4,0,0,0.159,1,7
broad_review,0.0,column_space,syllabus_ranked,35,item_0042,exam,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,1.16,1.16,0,0,0.182,1,6
broad_review,0.0,column_space,difficulty_only,35,item_0073,activity,flipped_md/inclass/map/Three-IIb/Three-IIb.md,0.36,0.36,1,1,0.242,1,3
broad_review,0.0,column_space,graph_irt,35,item_0001,activity,flipped_md/inclass/map/Three-IIc/Three-IIc.md,0.68,0.68,0,1,0.223,1,5
broad_review,0.0,determinants,random_within_target,37,item_0069,exam,mit_linear_algebra_md/spring2007/final/final.md,0.84,0.84,0,0,0.211,1,4
broad_review,0.0,determinants,syllabus_ranked,37,item_0042,exam,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,1.16,1.16,0,0,0.182,1,6
broad_review,0.0,determinants,difficulty_only,37,item_0075,activity,flipped_md/inclass/map/Three-Vb/Three-Vb.md,0.36,0.36,1,1,0.242,1,3
broad_review,0.0,determinants,graph_irt,37,item_0075,activity,flipped_md/inclass/map/Three-Vb/Three-Vb.md,0.36,0.36,1,1,0.242,1,3
broad_review,0.0,diagonalization,random_within_target,11,item_0036,exam,mit_linear_algebra_md/spring2005/final-1806-S05/final-1806-S05.md,1.4,1.4,0,0,0.159,1,9
broad_review,0.0,diagonalization,syllabus_ranked,11,item_0033,exam,mit_linear_algebra_md/spring2004/final_1806_S04/final_1806_S04.md,1.4,1.4,0,0,0.159,1,7
broad_review,0.0,diagonalization,difficulty_only,11,item_0086,activity,flipped_md/inclass/jc/Five-IIb/Five-IIb.md,0.76,0.76,0,0,0.217,1,4
broad_review,0.0,diagonalization,graph_irt,11,item_0086,activity,flipped_md/inclass/jc/Five-IIb/Five-IIb.md,0.76,0.76,0,0,0.217,1,4
broad_review,0.0,eigenvalues,random_within_target,55,item_0007,exam,mit_linear_algebra_md/fall1999/final-fall-99/final-fall-99.md,1.4,1.4,0,0,0.159,1,7
broad_review,0.0,eigenvalues,syllabus_ranked,55,item_0042,exam,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,1.16,1.16,0,0,0.182,1,6
broad_review,0.0,eigenvalues,difficulty_only,55,item_0072,activity,flipped_md/inclass/jc/Five-IId/Five-IId.md,0.36,0.36,1,1,0.242,1,3
broad_review,0.0,eigenvalues,graph_irt,55,item_0060,activity,flipped_md/inclass/jc/Five-IIc/Five-IIc.md,0.52,0.52,0,1,0.234,1,4
broad_review,0.0,least_squares,random_within_target,14,item_0029,exam,mit_linear_algebra_md/spring1999/final-99/final-99.md,1.48,1.48,0,0,0.151,1,5
broad_review,0.0,least_squares,syllabus_ranked,14,item_0006,exam,mit_linear_algebra_md/fall1999/final-fall-99/final-fall-99.md,1.4,1.4,0,0,0.159,1,8
broad_review,0.0,least_squares,difficulty_only,14,item_0056,exam,mit_linear_algebra_md/spring2019/final/final.md,0.76,0.76,0,0,0.217,1,5
broad_review,0.0,least_squares,graph_irt,14,item_0056,exam,mit_linear_algebra_md/spring2019/final/final.md,0.76,0.76,0,0,0.217,1,5
broad_review,0.0,linear_maps,random_within_target,12,item_0024,exam,mit_linear_algebra_md/fall2013/final_f13/final_f13.md,1.4,1.4,0,0,0.159,1,6
broad_review,0.0,linear_maps,syllabus_ranked,12,item_0064,exam,mit_linear_algebra_md/fall2008/final1806-f08/final1806-f08.md,0.84,0.84,0,0,0.211,1,4
broad_review,0.0,linear_maps,difficulty_only,12,item_0071,activity,flipped_md/inclass/jc/Five-II/Five-II.md,0.36,0.36,1,1,0.242,1,3
broad_review,0.0,linear_maps,graph_irt,12,item_0071,activity,flipped_md/inclass/jc/Five-II/Five-II.md,0.36,0.36,1,1,0.242,1,3
broad_review,0.0,linear_systems,random_within_target,14,item_0087,activity,flipped_md/inclass/map/Three-Ib/Three-Ib.md,0.2,0.2,1,1,0.248,1,2
broad_review,0.0,linear_systems,syllabus_ranked,14,item_0087,activity,flipped_md/inclass/map/Three-Ib/Three-Ib.md,0.2,0.2,1,1,0.248,1,2
broad_review,0.0,linear_systems,difficulty_only,14,item_0096,activity,flipped_md/inclass/linear-systems/One-I-2/One-I-2.md,0.04,0.04,1,1,0.25,1,1
broad_review,0.0,linear_systems,graph_irt,14,item_0087,activity,flipped_md/inclass/map/Three-Ib/Three-Ib.md,0.2,0.2,1,1,0.248,1,2
broad_review,0.0,nullspace,random_within_target,38,item_0017,exam,mit_linear_algebra_md/fall2006/final-1806-F06/final-1806-F06.md,1.4,1.4,0,0,0.159,1,6
broad_review,0.0,nullspace,syllabus_ranked,38,item_0015,exam,mit_linear_algebra_md/fall2005/final-1806-F05/final-1806-F05.md,1.24,1.24,0,0,0.174,1,5
broad_review,0.0,nullspace,difficulty_only,38,item_0076,activity,flipped_md/inclass/vector-spaces/Two-I.2/Two-I.2.md,0.36,0.36,1,1,0.242,1,3
broad_review,0.0,nullspace,graph_irt,38,item_0076,activity,flipped_md/inclass/vector-spaces/Two-I.2/Two-I.2.md,0.36,0.36,1,1,0.242,1,3
broad_review,0.0,orthogonality,random_within_target,43,item_0022,exam,mit_linear_algebra_md/fall2011/final_f11/final_f11.md,1.4,1.4,0,0,0.159,1,6
broad_review,0.0,orthogonality,syllabus_ranked,43,item_0042,exam,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,1.16,1.16,0,0,0.182,1,6
broad_review,0.0,orthogonality,difficulty_only,43,item_0067,exam,mit_linear_algebra_md/fall2017/final/final.md,0.84,0.84,0,0,0.211,1,4
broad_review,0.0,orthogonality,graph_irt,43,item_0070,exam,mit_linear_algebra_md/spring2008/final-1806-S08/final-1806-S08.md,0.84,0.84,0,0,0.211,1,4
broad_review,0.0,positive_definite,random_within_target,26,item_0048,exam,mit_linear_algebra_md/spring2014/Final_s14_draft/Final_s14_draft.md,1.48,1.48,0,0,0.151,1,5
broad_review,0.0,positive_definite,syllabus_ranked,26,item_0031,exam,mit_linear_algebra_md/spring1999/final-99/final-99.md,1.4,1.4,0,0,0.159,1,6
broad_review,0.0,positive_definite,difficulty_only,26,item_0056,exam,mit_linear_algebra_md/spring2019/final/final.md,0.76,0.76,0,0,0.217,1,5
broad_review,0.0,positive_definite,graph_irt,26,item_0004,exam,mit_linear_algebra_md/1995n1993没找到答案/final-95/final-95.md,1.0,1.0,0,0,0.197,1,5
broad_review,0.0,projection,random_within_target,32,item_0019,exam,mit_linear_algebra_md/fall2006/final-1806-F06/final-1806-F06.md,1.24,1.24,0,0,0.174,1,5
broad_review,0.0,projection,syllabus_ranked,32,item_0018,exam,mit_linear_algebra_md/fall2006/final-1806-F06/final-1806-F06.md,1.0,1.0,0,0,0.197,1,5
broad_review,0.0,projection,difficulty_only,32,item_0061,activity,flipped_md/inclass/map/Three-IIb/Three-IIb.md,0.52,0.52,0,1,0.234,1,4
broad_review,0.0,projection,graph_irt,32,item_0061,activity,flipped_md/inclass/map/Three-IIb/Three-IIb.md,0.52,0.52,0,1,0.234,1,4
broad_review,0.0,rank,random_within_target,31,item_0041,exam,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,1.0,1.0,0,0,0.197,1,5
broad_review,0.0,rank,syllabus_ranked,31,item_0042,exam,mit_linear_algebra_md/spring2009/final-s09/final-s09.md,1.16,1.16,0,0,0.182,1,6
broad_review,0.0,rank,difficulty_only,31,item_0001,activity,flipped_md/inclass/map/Three-IIc/Three-IIc.md,0.68,0.68,0,1,0.223,1,5
broad_review,0.0,rank,graph_irt,31,item_0001,activity,flipped_md/inclass/map/Three-IIc/Three-IIc.md,0.68,0.68,0,1,0.223,1,5
broad_review,0.0,row_reduction,random_within_target,19,item_0057,exam,mit_linear_algebra_md/spring2021/Final/Final.md,1.0,1.0,0,0,0.197,1,5
broad_review,0.0,row_reduction,syllabus_ranked,19,item_0070,exam,mit_linear_algebra_md/spring2008/final-1806-S08/final-1806-S08.md,0.84,0.84,0,0,0.211,1,4
broad_review,0.0,row_reduction,difficulty_only,19,item_0074,activity,flipped_md/inclass/map/Three-V/Three-V.md,0.36,0.36,1,1,0.242,1,3
broad_review,0.0,row_reduction,graph_irt,19,item_0074,activity,flipped_md/inclass/map/Three-V/Three-V.md,0.36,0.36,1,1,0.242,1,3
broad_review,0.0,svd,random_within_target,20,item_0010,exam,mit_linear_algebra_md/fall2000/final-fall-00/final-fall-00.md,1.64,1.64,0,0,0.136,1,9
broad_review,0.0,svd,syllabus_ranked,20,item_0065,exam,mit_linear_algebra_md/fall2010/final-1806-f10/final-1806-f10.md,0.84,0.84,0,0,0.211,1,4
broad_review,0.0,svd,difficulty_only,20,item_0056,exam,mit_linear_algebra_md/spring2019/final/final.md,0.76,0.76,0,0,0.217,1,5
broad_review,0.0,svd,graph_irt,20,item_0065,exam,mit_linear_algebra_md/fall2010/final-1806-f10/final-1806-f10.md,0.84,0.84,0,0,0.211,1,4
